Concentration,R,G,B
0.0,220.6666667,206.3333333,128.6666667
0.0,221.38803797636356,207.98485239742885,120.5355629162321
0.002,224.96591911586756,197.0228569379529,123.98487126601046
0.004,219.1822468224313,209.11839579156222,124.43900189142616
0.006,220.4557668042583,206.36897194761502,119.52061020101232
0.008,220.15661966693904,197.10824910216883,127.66787436882106
0.01,218.7292759084471,217.40945721799218,121.00158230271474
0.012,218.58292867887755,214.5721009986055,133.67111814102208
0.014,215.92924924916022,196.4330066595091,126.185303510815
0.016,216.50869209107108,204.18532100673906,129.48089760089997
0.018000000000000002,220.05179422067647,202.28520631373513,132.0582959356405
0.02,222.139837425239,206.34161352745696,125.15302530437191
0.022,224.0437482090254,209.60822134478943,121.372247801262
0.024,218.7510739698387,210.14807716938694,119.69843229067789
0.026000000000000002,225.8027890840092,208.00448001455075,120.36184678826818
0.028,231.5057117499418,210.18308707483368,125.12710562744955
0.03,226.2725397838334,201.74058435648718,123.99457010317285
0.032,226.01707524972662,207.02027234375518,125.54908569835061
0.034,227.12409098181715,214.13735937438125,125.24473700063933
0.036000000000000004,231.9564053587356,197.51406971050667,131.42931027115537
0.038,219.9562748885625,210.22568509066465,134.8819624782066
0.04,225.55847003305357,214.8486033270461,133.62419550634678
0.042,216.44324338805987,203.10480615439528,130.54160050567452
0.044,224.7419600503213,212.85758318239678,125.35097287677736
0.046,228.01563562947027,203.3705715547269,122.23261640472735
0.048,217.96774302200134,199.7877574814138,127.21193178257612
0.05,219.8696500802593,206.40737336736333,134.012901844264
0.052000000000000005,220.5900579798595,207.62452178352785,122.36581363855129
0.054,216.01485663744788,203.24706324609,124.87300535371033
0.056,220.58754452531753,203.21813376244378,135.55905644526845
0.058,221.209265226402,210.70644435025707,131.62377848874374
0.06,211.03349697780223,211.03003518687837,123.18995147005538
0.062,206.86675921336862,206.32569614936185,124.51799807419202
0.064,215.5800725023595,191.5375464911825,124.40681004786613
0.066,218.56360925080045,210.27525184244752,130.9909803024726
0.068,215.87659811317758,207.1774298548536,133.03999393447694
0.07,223.02691267487168,207.17788487492916,128.41760100136284
0.07200000000000001,214.85115140141633,198.85290537728915,124.3841761158929
0.074,214.94139785519587,202.48147472219267,127.26940394558234
0.076,222.9536631323389,204.0361086471276,116.18143919710816
0.078,220.19201323324765,209.48319068023085,123.84956844634792
0.08,217.2947421477908,200.21294717557672,134.3186940956226
0.082,221.5799463097986,205.0655768923832,124.49475633529973
0.084,217.23825456446784,197.18460039761243,125.66215231190435
0.08600000000000001,217.4581747439001,200.35744925999097,128.48826445927168
0.088,228.52606595908378,204.07791483794662,123.99840350522858
0.09,224.70678332657636,197.0827875475343,133.3094737540012
0.092,211.00932745156453,202.02396265796003,130.4431860780259
0.094,223.2446613356084,198.8535595944859,130.26919403671948
0.096,218.93219344631333,200.563406603505,116.50335400316557
0.098,223.11397768977196,208.03771954607262,126.31366108003932
0.1,222.1640673568743,203.56046029272832,124.01036011788186
0.10200000000000001,214.47972299398077,211.9966882461782,123.30411598869266
0.10400000000000001,213.84779775952774,198.98956079012498,129.56815875793393
0.106,223.601670757762,205.13553268343384,132.12515458255785
0.108,213.97757371662837,208.68845380737272,128.29872227318816
0.11,227.25230983829204,199.00191019971192,127.94467260273774
0.112,225.15928512193148,210.87656132422737,123.51751497367383
0.114,210.05895817614208,202.33615287017335,132.89605514284744
0.116,218.7279754562783,208.12618998062462,132.1215447948749
0.11800000000000001,225.56832107318397,199.5005454079334,139.40088307958032
0.12,224.12430729363714,197.74221003501503,123.97414156733082
0.122,222.5811615609318,201.76452542243462,128.53879416414674
0.124,214.94786734421172,196.58926691000036,132.07016545889317
0.126,223.8486250740343,202.3419735986982,131.71889130247834
0.128,219.91170084690833,201.71728990062266,126.5836686931861
0.13,220.07885101832014,197.46983137440142,130.49511169149085
0.132,222.94928122584997,201.4414299928358,122.93846866539086
0.134,226.99063476817653,201.91642030680595,118.5208074439467
0.136,215.64492060185754,208.7120141409044,125.18244063137136
0.138,211.15456162879676,194.74716603530842,135.1643799370036
0.14,220.7734574751162,201.97069394334187,123.9211780913308
0.14200000000000002,213.534969733334,204.76979171712784,119.70326904763964
0.14400000000000002,214.89378594220184,212.40155362971615,121.60679483212444
0.146,203.94976443329486,207.9170279394699,131.3485845903848
0.148,217.58725484826223,203.45135808465997,127.06797552061836
0.15,222.04677294090862,205.94259105525407,128.35421615800698
0.152,215.36670065488659,212.31781028998049,129.38983396907994
0.154,211.27606803820473,210.22657699591196,114.8375020679047
0.156,214.31427381565035,207.88646951343114,126.52019893997772
0.158,212.76587455366783,204.43446873595238,122.24659359027538
0.16,211.0443159093864,202.4522404742111,134.2382309809548
0.162,217.89907577694208,196.04453461254832,134.71565734150727
0.164,213.12933847738813,211.0701380973256,119.58513785080629
0.166,219.24155586795305,208.90595110689628,126.71910712046119
0.168,219.53456491571455,193.85096366011228,143.1935208133596
0.17,218.73413857263483,197.2817090556176,131.77362895022705
0.17200000000000001,217.64919941481708,191.63481455054034,124.10592532747552
0.17400000000000002,225.54510162156942,192.1035423810032,120.43932519758683
0.176,208.627544656456,186.63604050273108,124.56591442343759
