Concentration,R,G,B
0.0,185.44168511319464,177.7906604158255,90.20297992496431
0.002,185.03496082797915,166.08591156388965,93.69541999330966
0.004,192.14077879533681,169.76616493213825,104.84936934018694
0.006,194.48998346996177,171.61114297794555,92.68763960215219
0.008,179.92524427401352,174.68871788100952,90.85303778919821
0.01,188.3587014998036,167.57117784909067,99.78983336530068
0.012,181.49446817549295,174.58765872108853,95.22451552279215
0.014,170.41505684966916,174.39138321810236,87.6478908847782
0.016,177.26147348912187,173.28311557907617,109.14338747175304
0.018000000000000002,183.93832957225248,185.84796799938948,98.42298933976615
0.02,181.4098781716734,183.19457441738643,90.411284426487
0.022,187.27609213820213,175.06740091469098,105.05487870519606
0.024,184.51753618036662,159.15504517024377,98.90409408231135
0.026000000000000002,193.4898407672034,169.96393963836948,94.15175507592795
0.028,181.08540581799411,157.1147725373437,86.41996419813063
0.03,180.63420505158425,163.5825918398025,102.7880985146526
0.032,187.4376426568528,169.55760969041094,94.01799569824115
0.034,180.76618029185636,175.18570031649088,93.18480995395842
0.036000000000000004,187.80630951688147,172.23656955760617,94.55869250491611
0.038,191.48866362832848,170.30451503075776,100.1128104849052
0.04,184.1253513386106,166.3071517053165,95.2323786226816
0.042,189.78351012629253,165.9824964129239,99.89150822158182
0.044,182.38336412338086,169.27881479735754,93.27175735030534
0.046,184.87243170981995,157.41657249404872,99.27728633278895
0.048,176.8444458739609,171.08232128121657,101.54175708469513
0.05,187.4554341882427,159.42439494381026,104.87784485547121
0.052000000000000005,177.94766856068367,180.5657211913659,103.79837308465845
0.054,190.80516800222787,173.49756204951123,97.41820397951693
0.056,188.95526750407655,154.56149366097736,93.14178518671821
0.058,179.91248803664783,179.10576941327224,96.088930784158
0.06,176.26688936523584,158.88097441967807,90.66778722377822
0.062,172.85013060847106,188.8959725560133,91.1332427466991
0.064,191.49245517359316,174.76571429344767,97.58523021155229
0.066,182.05731233801555,159.02315708713022,98.6339132065534
0.068,188.30620879837267,168.03539246466934,106.64044545577929
0.07,182.57721666438897,162.50433416023702,92.76712238579876
0.07200000000000001,188.20649644742798,173.43267116703493,112.5010922870583
0.074,174.72789438448237,173.35864149186264,101.04801412782477
0.076,186.72624934996875,176.1026020605566,92.64706351159772
